date,[PS01=SLC03] Electrical conductivity (EC) [µS/cm],[PS02] Electrical conductivity (EC) [µS/cm],[PS03] Electrical conductivity (EC) [µS/cm],[PS04] Electrical conductivity (EC) [µS/cm],[SLC01] Electrical conductivity (EC) [µS/cm],[SLC02] Electrical conductivity (EC) [µS/cm],[PS01=SLC03] Nitrite (NO2-N) [mg NO2-N/L],[PS02] Nitrite (NO2-N) [mg NO2-N/L],[PS03] Nitrite (NO2-N) [mg NO2-N/L],[PS04] Nitrite (NO2-N) [mg NO2-N/L],[SLC01] Nitrite (NO2-N) [mg NO2-N/L],[SLC02] Nitrite (NO2-N) [mg NO2-N/L],[PS01=SLC03] Nitrate (NO3-N) [mg NO3-N/L],[PS02] Nitrate (NO3-N) [mg NO3-N/L],[PS03] Nitrate (NO3-N) [mg NO3-N/L],[PS04] Nitrate (NO3-N) [mg NO3-N/L],[SLC01] Nitrate (NO3-N) [mg NO3-N/L],[SLC02] Nitrate (NO3-N) [mg NO3-N/L],[PS01=SLC03] Total Nitrogen (TN) [mg N/L],[PS02] Total Nitrogen (TN) [mg N/L],[PS03] Total Nitrogen (TN) [mg N/L],[PS04] Total Nitrogen (TN) [mg N/L],[SLC01] Total Nitrogen (TN) [mg N/L],[SLC02] Total Nitrogen (TN) [mg N/L],[PS01=SLC03] Dissolved oxygen (DO) [mg/L],[PS02] Dissolved oxygen (DO) [mg/L],[PS03] Dissolved oxygen (DO) [mg/L],[PS04] Dissolved oxygen (DO) [mg/L],[SLC01] Dissolved oxygen (DO) [mg/L],[SLC02] Dissolved oxygen (DO) [mg/L],[PS01=SLC03] pH [NA],[PS02] pH [NA],[PS03] pH [NA],[PS04] pH [NA],[SLC01] pH [NA],[SLC02] pH [NA],[PS01=SLC03] Water temperature (Tw) [ºC],[PS02] Water temperature (Tw) [ºC],[PS03] Water temperature (Tw) [ºC],[PS04] Water temperature (Tw) [ºC],[SLC01] Water temperature (Tw) [ºC],[SLC02] Water temperature (Tw) [ºC],[PS01=SLC03] Turbidity (Turb) [NTU],[PS02] Turbidity (Turb) [NTU],[PS03] Turbidity (Turb) [NTU],[PS04] Turbidity (Turb) [NTU],[SLC01] Turbidity (Turb) [NTU],[SLC02] Turbidity (Turb) [NTU]
2014-01-31,301.20000000000005,240.60000000000002,239.8,240.9,234.5,239.1,0.21,0.016,0.016,0.02,0.02,0.045,0.87,0.92,0.72,0.72,0.18,0.27,2.37,1.83,1.44,1.51,1.07,1.18,3.6,5.940000000000001,6.72,6.48,5.65,5.48,7.49,7.63,7.93,7.690000000000001,7.5,7.58,26.8,26.6,27.2,27.4,25.5,26.9,5.7,11.0,8.3,8.8,12.0,9.0
2014-02-28,245.09764811430566,30.999187651196433,104.6,217.62631324743433,183.93600000000004,224.95499999999996,0.0,0.00811525918044644,0.017201399167311816,0.01748840979016463,0.016584703487678848,0.017152382758127728,0.21490723931557604,0.6371335529507686,0.435753011243926,0.13304296030382223,0.2409202380952381,0.344039575696707,1.6733421319558384,1.1014122867626128,1.443125,0.8853785714285713,0.9299999999999999,1.3286115261315845,6.807759999999997,6.856631812091593,7.384294850860226,7.048440705082038,8.619794918918958,6.787639999999993,7.7165081446176265,7.518281356326553,7.431505904060249,6.560269714558592,6.666982603462423,7.792952964467128,28.066411246808418,19.15139841987877,25.49090909090909,23.33400000000001,22.46715004034547,23.919535227739242,28.334592221272526,18.451336048242347,17.666666666666664,9.501108699269817,15.135,13.927777777777777
2014-03-31,204.60000000000002,142.8,182.9,154.5,146.4,190.99999999999997,0.0065,0.0012,0.012227863855696025,0.014,0.0029,0.0029000000000000002,0.34,0.54,0.51,0.54,0.1,0.16,0.99,1.34,1.28,1.26,0.96,1.08,7.48,6.51,7.03,7.04,7.18,7.880000000000001,7.83,7.7,7.57,7.61,7.65,7.63,19.700000000000003,22.4,21.9,22.1,18.7,18.799999999999997,13.0,15.0,18.999999999999996,15.0,18.0,15.0
2014-04-30,178.96683389616928,86.12807212057245,108.0,139.87484206820668,144.823,175.1739999999999,0.02003135196952849,0.004236397354911753,0.00520605569436407,0.006699878576018982,0.008762109854220018,0.008808744750096745,0.3521106514842742,0.47724870142785153,0.46908209378431637,0.14248390971015648,0.32148333333333334,0.5639352682196387,1.1901186387858,1.3218027382134727,1.1454333333333333,0.8853785714285713,1.008,1.0527156139486562,7.402079999999995,7.295719598322753,8.213887526148412,7.335520750241556,8.312351171216081,8.172859999999993,7.881331305252403,7.409232958524415,7.419165396824164,6.560209842793088,6.640065004900003,7.761478092889521,20.368994036482036,16.535381680439205,21.5,19.464000000000006,17.122380913887795,18.583020454641165,13.909268789587232,14.609124935270133,20.400000000000002,9.205483385471561,15.752941176470587,16.466666666666665
2014-05-31,187.30000000000004,132.3,104.6,95.5,143.7,173.6,0.016,0.016,0.016,0.016,0.016,0.016,0.6,0.61,0.6,0.52,0.8799999999999999,0.55,1.02,1.28,1.29,1.25,1.42,1.29,8.06,7.14,7.1,6.71,8.062343226069277,8.35,7.34,7.219999999999999,7.35,7.3,7.41,7.490000000000001,17.4,17.9,18.0,18.0,17.2,17.0,15.0,25.0,25.000000000000004,26.0,18.0,18.0
2014-06-30,174.7220718163011,95.9239295207898,106.3,65.7559309402526,125.92299999999999,137.08900000000003,0.018587677854555305,0.01794524836092914,0.018985615428888523,0.01682371383865559,0.0178806420181126,0.018104388603634666,0.3810697749132246,0.5041628085863072,0.4305781613742994,0.17698055872074,0.5390452380952381,0.39218422685906384,1.57637152864499,1.7226603723988028,1.415572619047619,0.8853785714285713,1.39,1.1211609502327728,9.783839999999989,8.29894750840073,9.617323701811022,8.443007768846522,9.630596461091935,10.19313999999999,7.7190128935701905,7.25871918478027,7.259932025424261,6.5601725612357455,6.623903842671567,7.840690826597047,12.660207718557318,12.662681089445263,12.32,12.493,12.827920890270507,12.010096841826732,34.959618468674336,22.377965020884986,18.6,11.782917311464729,40.0,28.700000000000003
2014-07-31,81.0,72.3,62.0,65.6,78.9,78.3,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.51,0.55,0.45,0.26,0.5,1.7600000000000002,1.39,1.58,1.41,0.99,1.5,10.32,8.26,8.69,8.54,11.4,10.35,8.01,7.15,7.44,6.98,7.51,7.320000000000001,10.7,12.8,12.5,12.5,9.399999999999999,10.6,45.0,39.99999999999999,50.00000000000001,40.0,40.0,44.99999999999999
2014-08-31,122.11836865384849,59.92435174660022,105.73333333333333,61.619186370077934,117.85599999999998,136.00300000000001,0.03563529743918244,0.018121981702670195,0.019017700514453964,0.017430650143304346,0.017952159431622986,0.017029742643151977,0.30540468210794447,0.3710494238271879,0.29512624328394627,0.1679164704729275,0.2646652380952381,0.31192548170444967,1.7188246142563077,1.529502813736638,1.0838833333333333,0.8853785714285713,1.21,0.9395202576219351,9.382940000000005,8.388405275682926,10.032461287980063,8.461986610224852,9.886717493695699,9.87445999999999,7.7222784512416345,7.327737723850732,7.364437089260752,6.560202184789243,6.636744941965537,7.827886676664775,14.025356553494866,13.691581938383754,15.766666666666666,15.704000000000002,13.783107677573538,14.417080518091238,26.43875871403406,24.564755154786805,21.56666666666667,14.444395827951658,34.93333333333334,28.614285714285717
2014-09-30,155.5,66.8,57.8,61.199999999999996,139.1,143.1,0.092,0.016,0.016,0.016,0.016,0.016,0.37,0.17,0.19999999999999998,0.17000000000000004,0.14,0.31,1.37,1.17,1.07,0.99,1.01,1.04,8.39,7.36,7.34,7.51,9.48,8.62,7.98,7.159999999999999,7.53,7.13,7.47,7.77,17.6,18.1,16.9,18.6,17.2,16.6,21.0,27.0,29.0,27.0,20.0,21.999999999999996
2014-10-31,175.48513501970322,47.26479010516757,106.3,98.74826294619066,136.15499999999994,158.01499999999996,0.03978033419867484,0.016168216375571504,0.01879867394400988,0.01525027948106091,0.01599840793727882,0.016,0.20563718904492034,0.1637084944842239,0.15745191126468658,0.14310310252344347,0.10242198412698413,0.23256252292499158,1.55232111730445,1.3988685901206535,1.0044666666666666,0.8853785714285713,0.9416666666666667,0.9434435192522134,7.615179999999996,7.665926436665857,9.331567899161143,7.71796829913101,8.848359676348053,8.176699999999997,7.763695538541995,7.427984538920582,7.416745163382401,6.560240042781132,6.653379641974174,7.762410596355057,22.171122402173353,16.570856988207446,22.03333333333333,21.014000000000014,19.22235129108136,19.456989545880536,20.37129554125668,15.126890440066465,21.066666666666666,10.930161648802587,16.884615384615383,19.075000000000003
